|      350 | BQ2426    |  279.000000 |
|      190 | MK6656    |  250.000000 |
|      218 | AX2169    |  210.000000 |
|      240 | SKW2873   |  145.000000 |
|      218 | AR11383   |  325.000000 |
|      240 | SKW7601   |  175.000000 |
|      350 | ES2362    |  109.000000 |
|      350 | BQ3566    |  139.000000 |
|      350 | BQ3498    |  139.000000 |
|      240 | SKW2876   |  135.000000 |
|      218 | AR11227   |  245.000000 |
|      218 | AX4403    |  110.000000 |
|      240 | SKW2877   |  125.000000 |
|      244 | DZ4203    |  220.000000 |
|      218 | AR2507    |  225.000000 |
|      218 | AR11275   |  375.000000 |
|      244 | DZ4548    |  260.000000 |
|      350 | FTW4025   |  295.000000 |
|      350 | BQ2507    |  129.000000 |
|      350 | BQ2386    |  249.000000 |
|      218 | AR11164   |  325.000000 |
|      218 | AR11327   |  195.000000 |
|      244 | DZ4550    |  260.000000 |
|      218 | AR11105   |  275.000000 |
|      244 | DZ7378    |  375.000000 |
|      190 | MK3650    |  225.000000 |
|      218 | AR11188   |  195.000000 |
|      350 | FTW7056   |  195.000000 |
|      218 | AR1808    |  295.000000 |
|      244 | DZ4536    |  260.000000 |
|      190 | MK8660    |  275.000000 |
|      218 | AR11339   |  245.000000 |
|      350 | BQ3390    |  139.000000 |
|      350 | BQ2487    |   99.000000 |
|      218 | AX2098    |  190.000000 |
|      218 | ARS3024   | 1145.000000 |
|      350 | BQ2428    |  249.000000 |
|      218 | AR1489    |  445.000000 |
|      218 | AR11186   |  195.000000 |
|      218 | AX2513    |  210.000000 |
|      350 | BQ1009    |  139.000000 |
|      190 | MKT5064J  |  395.000000 |
|      190 | MK2793    |  150.000000 |
|      350 | FTW6073   |  249.000000 |
|      218 | AR11257   |  295.000000 |
|      350 | BQ2586    |  169.000000 |
|      218 | AR1990    |  245.000000 |
|      218 | AR2068    |  295.000000 |
|      240 | SKT3000   |  195.000000 |
|      350 | BQ1703    |  149.000000 |
|      218 | AR11127   |  245.000000 |
|      244 | DZ7333    |  425.000000 |
|      350 | BQ2382    |  249.000000 |
|      190 | MKT5046J  |  350.000000 |
|      240 | SKW6602   |   95.000000 |
|      218 | AR1926    |  395.000000 |
|      218 | AR11263   |  195.000000 |
|      190 | MK3190    |  250.000000 |
|      190 | MK8607    |  195.000000 |
|      350 | FTW6066   |  249.000000 |
|      190 | MK6938    |  295.000000 |
|      350 | BQ1006    |  129.000000 |
|      218 | AR11128   |  225.000000 |
|      350 | BQ3610    |  149.000000 |
|      240 | SKW6553   |  145.000000 |
