Jomashop values	Normlised	Fix	Attribute			
Baguette Set 	  		 bezel.material			
Bamboo 	  		 bezel.material			
Bezel set with 40 Baguette Stones 	  		 bezel.material			
Black 	  		 bezel.material			
Black Coated 	  		 bezel.material			
Black IP 	  		 bezel.material			
Black Ion Plated 	  		 bezel.material			
Black Ion-plated 	  		 bezel.material			
Black Ion-plated  with Rose Gold-tone Wire Trim 	  		 bezel.material			
Black Ion-plated with Rose Gold-tone Wire Trim 	  		 bezel.material			
Black PVD 	  		 bezel.material			
Black and White 	  		 bezel.material			
Black/Silver-tone 	  		 bezel.material			
Blue 	  		 bezel.material			
Blue Ion Plated 	  		 bezel.material			
Blue Ion- plated 	  		 bezel.material			
Blue Ion-plated 	  		 bezel.material			
Blue Topaz and Peridot 	  		 bezel.material			
Blue Translucent 	  		 bezel.material			
Blue and Silver-tone 	  		 bezel.material			
Blue pvd 	  		 bezel.material			
Blue with a Black Top Ring 	  		 bezel.material			
Blue/Silver-tone 	  		 bezel.material			
Breitlight 	  		 bezel.material			
Breitlight (Ultralight Polymer) 	Polymer	Polymer	 bezel.material			
Brushed Gold-tone 	  		 bezel.material			
Cable Wire 	  		 bezel.material			
Ceamic 	Ceramic	Ceramic	 bezel.material			
Cerachrom 	Ceramic	Ceramic	 bezel.material			
Ceramnic 	Ceramic	Ceramic	 bezel.material			
Cermet 	  		 bezel.material			
Corian 	Zirconia	Zirconia	 bezel.material			
Cubic Zirconia Set 	Zirconia	Zirconia	 bezel.material			
Cubic Zirconias Set 	  		 bezel.material			
Datejust 	  		 bezel.material			
Dimond Set 	Diamond	Diamond	 bezel.material			
Fixed Domed 	  		 bezel.material			
Fluted Bezel 	  		 bezel.material			
G-shaped set with 24 Daimond 	Diamond	Diamond	 bezel.material			
Gemstone 	  		 bezel.material			
Gold Tone 	  		 bezel.material			
Gold-Tone 	  		 bezel.material			
Gold-tone 	  		 bezel.material			
Green 	  		 bezel.material			
Grey 	  		 bezel.material			
Gun PVD 	  		 bezel.material			
Hardmetal 	Base Metal	Base Metal	 bezel.material			
Index 	  		 bezel.material			
Ion-plated 	  		 bezel.material			
Kevlar 	Kevlar	Kevlar	 bezel.material			
Liquidmetal 	  		 bezel.material			
Matte Racy Red Ergal 	  		 bezel.material			
